Index,Time,camToTurretTranformationDisplay[0],camToTurretTranformationDisplay[1],camToTurretTranformationDisplay[2],camToTurretTranformationDisplay[3],camToTurretTranformationDisplay[4],camToTurretTranformationDisplay[5],camToTurretTranformationDisplay[6],camToTurretTranformationDisplay[7],camToTurretTranformationDisplay[8],camToTurretTranformationDisplay[9],camToTurretTranformationDisplay[10],camToTurretTranformationDisplay[11],camToTurretTranformationDisplay[12],camToTurretTranformationDisplay[13],camToTurretTranformationDisplay[14],camToTurretTranformationDisplay[15]
7104,7.104006,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7105,7.105003,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7106,7.105998,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7107,7.107007,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7108,7.108002,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7109,7.109000,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7110,7.110006,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7111,7.111006,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7112,7.112003,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7113,7.112998,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7114,7.113996,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
